"doc_id","title","doc_type","sub_type","business_unit","service_area","status","expiry_date","days_to_expiry","expiry_status","source_path","kb_path","sidecar_path","date_added","last_reviewed","document_owner","review_frequency","tags","notes","issuing_authority","issue_date","document_number","rating","verified","verified_date","holder_name","holder_type","scanned_ocr","client_name","client_sector","project_name","services_scope","project_start","project_end","value_band","outcome","reference_letter","contact_available","approved_for_reuse","tender_ref","submission_date","reusable_sections","primary_business_unit","strategic_value","reusable_content_score","person_name","role","years_experience","cv_version","available_for_tenders","version","approved_by","key_differentiators"
"HIST-006","SAA Oracle Fusion HCM RFP Response (June 2025) — NOT AWARDED","HIST","Lost","Oracle","Oracle Fusion HCM","Archived","","","No-Expiry","Parties/Customers/South African Airways/HCM/1.Working/APPSolve_SAA_RFP.docx","","","2026-06-14","2026-06-14","Hein Blignaut","As-Needed","Oracle,HCM,SAA,South African Airways,RFP,platform capability,HCM Core,Absence,Recruiting,Payroll Interface,OIC,Digital Assistant,OAX,Redwood,2025","Rich Oracle Fusion HCM platform capability narrative (BOM, product architecture, SLA, Digital Assistant, OAX, Redwood). Platform capability source for W3S1-001 through W3S1-009. SAA MUST NOT BE NAMED as client or reference in any tender content. Aviation PROHIBITED — Rule 21.1. NOT AWARDED. Internal evidence use only.","","2025-06","","","","","","No","South African Airways (SAA) — RESTRICTED Rule 21.1: aviation prohibited; not named externally","Aviation — DO NOT REFERENCE (Rule 21.1)","SAA Oracle Fusion HCM Implementation RFP","Oracle Fusion HCM,Global HR,Recruiting Cloud,Learning Cloud,Absence Management,HR Help Desk,OIC Payroll Integration,Digital Assistant,OAX","","","Unknown","Not Awarded","No","No","No","","2025-06","Platform capability narrative; Product architecture; BOM component descriptions; OAX/Digital Assistant; OIC integration; SLA framework; Delivery methodology — all internal evidence use only","Oracle","High","4","","","","","","1.0","Hein Blignaut","Rich HCM platform narrative; OAX/Digital Assistant capability descriptions; OIC payroll integration evidence; Full BOM product scope; Not awarded — internal evidence only"
"HIST-007","Hollywood Bets Oracle Fusion HCM Accepted Proposal V5.0 (April 2023) — WON","HIST","Won","Oracle","Oracle Fusion HCM","Archived","","","No-Expiry","Parties/Customers/Hollywood Bets/RFP/HCM and Payroll Implementation/Accepted proposal/APPSolve_HollywoodBets_Oracle Implementation 3rd part_V5.0.docx","","","2026-06-14","2026-06-14","Hein Blignaut","As-Needed","Oracle,HCM,Hollywood Bets,won,gaming,retail,HCM Core,Recruiting Cloud,Absence Management,HR Help Desk,OIC,Payroll Interface,Annexure 2,approved reference,named client,go-live 2025","PRIMARY ORACLE HCM IMPLEMENTATION REFERENCE. Won April 2023; go-live July 2025; ~7,000 users (Phase 3 live). 8 HCM modules. Referenceable client — Hollywood Bets named in KB capability content. Annexure 2: HR Help Desk (ER case management, knowledge management, chatbot, SMS, routing) — primary evidence for W3S1-008. Source for W3S1-001, W3S1-003, W3S1-007, W3S1-008. See HIST-018 (ANN1-V4.1 — contractual Annexure 1; highest evidential weight for W3S1-009; registered standalone HIST asset per BU Lead decision 2026-06-14). Signed contract: Parties/Customers/Hollywood Bets/Contract/Signed contracts/.","","2023-04","","","Yes","2026-06-13","","","No","Hollywood Bets","Retail / Gaming","Hollywood Bets Oracle Fusion HCM Implementation","Oracle Fusion HCM,Global HR,Recruiting Cloud,Learning Cloud,Absence Management,HR Help Desk,OIC Payroll Interface,Performance Management","2023-04","2025-07","Unknown","Won","","","No","","2023-04","Annexure 2 (HR Help Desk scope confirmation); Delivery methodology; Module scope statements; OIC payroll integration scope; Phase 3 go-live evidence — all via W3S1 KB extracts","Oracle","High","5","","","","","","V5.0","Hein Blignaut","Named referenceable client; 8 HCM modules live; ~7,000 users; Annexure 2 HR Help Desk confirmation; OIC PaySpace payroll integration; go-live July 2025"
"HIST-014","CCBA Oracle Fusion HCM Solution Proposal V2.0 (2025) — RESTRICTED: client not named externally","HIST","Unknown","Oracle","Oracle Fusion HCM","Archived","","","No-Expiry","Parties/Customers/CCBA/Oracle HCM RFP/0. Submitted/APPSolve_CCBA_HCM_Solution_V2.0.docx","","","2026-06-14","2026-06-14","Hein Blignaut","As-Needed","Oracle,HCM,CCBA,FMCG,beverages,restricted,internal,corroborative,HR Help Desk,BRS,BOM,ER case management,HCM Core,not named externally","RESTRICTED — CCBA MUST NEVER BE NAMED in any external KB content or tender submission. Internal corroborative use only. Used in W3S1-008 (HR Help Desk BRS Section 7.1.2 — ER case management confirmation). CCBA BOM V3 (CCBA HCM_BOM_V3.xlsx same folder) and BRS V7.1 (RFP-BRS-HCM solution__270525_V7.1.docx) used for product architecture validation. Outcome unknown.","","2025","","","","","","No","RESTRICTED — internal governance use only; do not appear in any tender or external content","FMCG / Beverages","CCBA Oracle Fusion HCM Solution","Oracle Fusion HCM,HR Help Desk,HCM Core,ER Case Management,BOM,OIC","","","Unknown","Unknown","No","No","No","","2025","Internal corroboration only — no reusable sections; content access restricted. CCBA BOM V3 + BRS V7.1 in supporting docs (same folder).","Oracle","Medium","1","","","","","","V2.0","Hein Blignaut","Internal corroboration for HR Help Desk ER case management; BRS V7.1 product boundary validation; BOM V3 product scope — RESTRICTED internal use only"
"HIST-015","Afrocentric Oracle Fusion HCM Proposal V4.0 (2023)","HIST","Unknown","Oracle","Oracle Fusion HCM","Archived","","","No-Expiry","Parties/Customers/Afrocentric Health/RFP/HCM 2023/APPSolve Afrocentric - HCM Proposal V4.0.docx","","","2026-06-14","2026-06-14","Hein Blignaut","As-Needed","Oracle,HCM,Afrocentric,healthcare,methodology,delivery phases,Phase 1 through Phase 7,HR Help Desk Phase 1.6,OIC,HCM Core,not named externally","Delivery methodology corroboration for W3S1-001 through W3S1-009. Phase 1.6 HR Help Desk implementation sequence confirmed (W3S1-008). V4.0 = substantial revision history — mature delivery model. Afrocentric NOT NAMED as client or reference in any KB capability content. Outcome unknown. Healthcare sector HCM.","","2023","","","","","","No","Afrocentric Health — not named externally in KB content","Healthcare / Medical Aid","Afrocentric Oracle Fusion HCM Implementation","Oracle Fusion HCM,HCM Core,Recruiting,Learning,Absence,HR Help Desk,OIC,Payroll Interface","","","Unknown","Unknown","No","","No","","2023","Delivery methodology (Phase 1 through Phase 7); HR Help Desk Phase 1.6 sequence; Phase milestones — internal corroboration only; Afrocentric not named","Oracle","Medium","2","","","","","","V4.0","Hein Blignaut","7-phase Oracle HCM delivery methodology; HR Help Desk Phase 1.6 sequencing confirmed; Healthcare sector scope; V4.0 maturity — 4+ iterations"
"HIST-016","SABS ETS Oracle Fusion HCM RFP Response (December 2025)","HIST","Unknown","Oracle","Oracle Fusion HCM","Archived","","","No-Expiry","Parties/Customers/SABS/RFP/ETS - Oracle Fusion/APPSolve_SABS_RFP_Response.docx","","","2026-06-14","2026-06-14","Hein Blignaut","As-Needed","Oracle,HCM,SABS,government,standards,ETS,Recruiting Cloud,Learning Cloud,Absence,Mr Price,PoC,Tier 3,corroborative","Corroborative reference for W3S1-003 (Recruiting), W3S1-004 (Learning Cloud), W3S1-007 (Workforce Management). Contains Mr Price Group T&L PoC evidence (Tier 3). Limited content (7,933 chars) — no HR Help Desk content confirmed per W3S1-008 SVR. SABS not named as client in any KB capability content. Outcome unknown.","","2025-12","","","","","","No","SABS (South African Bureau of Standards) — not named externally in KB content","Standards / Government","SABS ETS Oracle Fusion HCM Implementation","Oracle Fusion HCM,Recruiting Cloud,Learning Cloud,Absence Management,Workforce Management","","","Unknown","Unknown","No","","No","","2025-12","Limited — corroborative use only; 7,933 chars; no Help Desk content; Mr Price T&L PoC in Learning Cloud context (Tier 3)","Oracle","Low","2","","","","","","1.0","Hein Blignaut","Mr Price T&L PoC evidence (Tier 3); Limited content 7,933 chars; Corroborative HCM platform reference; Government/Standards sector"
"HIST-017","SAA Oracle Fusion HCM RFP Clarification Responses (2025) — NOT AWARDED","HIST","Lost","Oracle","Oracle Fusion HCM","Archived","","","No-Expiry","Parties/Customers/South African Airways/HCM/1.Working/Support Clarification/APPSolve_SAA_Additional Information.docx","","","2026-06-14","2026-06-14","Hein Blignaut","As-Needed","Oracle,HCM,SAA,South African Airways,RFP,clarification,platform capability,aviation prohibited,Rule 21.1,internal evidence","Companion to HIST-006 (SAA HCM RFP Response). Clarification and additional information responses to the SAA HCM RFP. SAA MUST NOT BE NAMED as client or reference. Aviation PROHIBITED — Rule 21.1. NOT AWARDED. Limited additional content vs HIST-006 per W3S1-008 SVR. Internal platform capability evidence use only.","","2025","","","","","","No","South African Airways (SAA) — RESTRICTED Rule 21.1: aviation prohibited; not named externally","Aviation — DO NOT REFERENCE (Rule 21.1)","SAA Oracle Fusion HCM Implementation RFP — Clarification","Oracle Fusion HCM,HCM Core,Recruiting Cloud,Learning Cloud,Absence Management,HR Help Desk,OIC Payroll Integration","","","Unknown","Not Awarded","No","No","No","","2025","Platform capability clarifications — internal evidence use only; Aviation not referenceable; See HIST-006 for primary RFP document","Oracle","Low","2","","","","","","1.0","Hein Blignaut","Clarification responses to SAA HCM RFP; companion to HIST-006; internal platform capability corroboration only; Not awarded"
"HIST-018","Hollywood Bets Oracle HCM & Payroll Implementation — Annexure 1 V4.1 (Contractual)","HIST","Contractual Annexure","Oracle","Oracle Fusion HCM","Archived","","","No-Expiry","Parties/Customers/Hollywood Bets/Contract/Annexure 1 - HCM Implementation/Annexure 1_Oracle HCM Implementation V4.1.docx","","","2026-06-14","2026-06-14","Hein Blignaut","As-Needed","Oracle,HCM,Hollywood Bets,contractual,Annexure 1,payroll interface,OIC,PaySpace,scope,billing schedule,V4.1,Tier 1,W3S1-009,primary evidence,named client","TIER 1 CONFIRMED DELIVERY EVIDENCE. Primary evidentiary source for W3S1-009 (Oracle HCM Payroll Interface & Integration). Contractual annexure defining implementation scope, billing schedule, and payroll integration architecture (Oracle Fusion HCM ↔ OIC ↔ PaySpace). V4.1 = final contractual version (prior versions V2.0, V2.1, V3.0, V4.0 archived in same folder). Signed version: Parties/Customers/Hollywood Bets/Contract/Signed contracts/Annexure 1_Oracle HCM Implementation V4.1_signed.pdf. Parent document: HIST-007. Registered as standalone HIST asset per BU Lead decision 2026-06-14 (Rule 6 precedent). Subject to standard Hollywood Bets reference controls and account manager approval requirements.","","2023-04","","","Yes","2026-06-14","","","No","Hollywood Bets","Retail / Gaming","Hollywood Bets Oracle Fusion HCM & Payroll Implementation","Oracle Fusion HCM,OIC,PaySpace,Payroll Integration,Global HR,Recruiting Cloud,Absence Management,HR Help Desk,Learning Cloud","2023-04","2025-07","Unknown","Won","","","No","","2023-04","Billing schedule (implementation scope); Payroll integration scope (OIC ↔ PaySpace); Module delivery timeline; Contractual implementation obligations — primary source for W3S1-009 payroll interface capability","Oracle","High","5","","","","","","V4.1","Hein Blignaut","Primary contractual evidence for HCM payroll interface; OIC ↔ PaySpace bidirectional architecture; Billing schedule with full module scope; Signed version available; Tier 1 Confirmed Delivery; Rule 6 registration precedent"
"REF-ORA-001","Investec — Oracle Fusion Finance & Procurement Reference Letter (2023-09)","REF","Project","Oracle","Oracle Fusion ERP","Active","None","","No-Expiry","Parties/Customers/SABS/RFP/ETS - Oracle Fusion/References/Reference 2023 09 Investec Letter.pdf","04_References/Oracle/REF-ORA-001-Investec-Reference-Letter-2023-09.pdf","","2026-06-14","2026-06-14","Hein Blignaut","Annual","Oracle,Fusion,Finance,Procurement,Investec,reference,ERP,multi-country,SA,USA,UK","Registered WP7 2026-06-14 per D1. Oracle Fusion Finance and Procurement. 3 countries: SA USA UK. AM-W4E1-001 and AM-W4E2-001 REMOVED — restrictions lifted. Account manager approval still required at each tender submission.","","2023-09","REF-ORA-001","","Yes","2026-06-14","","","No","Investec","Financial Services","Oracle Fusion Finance & Procurement Implementation (SA USA UK)","Oracle Fusion Finance,Oracle Fusion Procurement,GL,AP,AR,Procurement","","","Unknown","Successful","Yes","Yes","Yes","","","Full document","Oracle","High","5","","","","","","1.0","Hein Blignaut","3-country Oracle Fusion implementation; Finance and Procurement; SA/USA/UK; strong differentiator"
"REF-ORA-002","NALA Renewables — Oracle Fusion Finance Reference Letter (8-country)","REF","Project","Oracle","Oracle Fusion ERP","Active","None","","No-Expiry","Parties/Customers/SABS/RFP/ETS - Oracle Fusion/References/NALA Reference Letters/","04_References/Oracle/REF-ORA-002-NALA-Reference-Letter.pdf","","2026-06-14","2026-06-14","Hein Blignaut","Annual","Oracle,Fusion,Finance,NALA,Renewables,reference,ERP,multi-country,renewable energy,Lithuania,Finland,Romania","Registered WP7 2026-06-14 per D1. Oracle Fusion Finance. 8-country scope (Lithuania Finland Romania and others). AM-W4E1-001 REMOVED — restriction lifted. Account manager approval still required at each tender submission.","","","REF-ORA-002","","Yes","2026-06-14","","","No","NALA Renewables","Renewable Energy","Oracle Fusion Finance Implementation (8 countries)","Oracle Fusion Finance,GL,AP,AR,Multi-currency,Multi-entity","","","Unknown","Successful","Yes","Yes","Yes","","","Full document","Oracle","High","5","","","","","","1.0","Hein Blignaut","8-country Oracle Fusion Finance; renewable energy sector; multi-currency; strong international differentiator"
"REF-ORA-003","Cape Union Mart — Oracle Fusion Finance & Procurement Reference Letter","REF","Project","Oracle","Oracle Fusion ERP","Active","None","","No-Expiry","Parties/Customers/SABS/RFP/ETS - Oracle Fusion/References/Cape Union Mart_Reference Letter.pdf","04_References/Oracle/REF-ORA-003-CapeUnionMart-Reference-Letter.pdf","","2026-06-14","2026-06-14","Hein Blignaut","Annual","Oracle,Fusion,Finance,Procurement,Cape Union Mart,reference,ERP,retail","Registered WP7 2026-06-14 per D1. Scope confirmed by BU Lead D2 (2026-06-14): Oracle Fusion Finance and Procurement. AM-W4E1-001 and AM-W4E2-001 REMOVED — restrictions lifted. Account manager approval still required at each tender submission.","","","REF-ORA-003","","Yes","2026-06-14","","","No","Cape Union Mart","Retail","Oracle Fusion Finance & Procurement Implementation","Oracle Fusion Finance,Oracle Fusion Procurement,GL,AP,AR,Procurement","","","Unknown","Successful","Yes","Yes","Yes","","","Full document","Oracle","High","4","","","","","","1.0","Hein Blignaut","Oracle Fusion Finance and Procurement; retail sector; scope confirmed D2 (BU Lead 2026-06-14)"
"REF-ORA-004","Assore — Oracle EBS Reference Letter (2023)","REF","Project","Oracle","Oracle EBS","Active","None","","No-Expiry","Parties/Customers/SABS/RFP/ETS - Oracle Fusion/References/Reference 2023 Assore Reference Letter.pdf","04_References/Oracle/REF-ORA-004-Assore-Reference-Letter-2023.pdf","","2026-06-14","2026-06-14","Hein Blignaut","Annual","Oracle,EBS,Assore,reference,mining","Registered WP7 2026-06-14 per D1. Oracle EBS. Mining sector. Account manager approval required at each tender submission.","","2023","REF-ORA-004","","Yes","2026-06-14","","","No","Assore","Mining","Oracle EBS Implementation","Oracle EBS,GL,AP,AR,HR","","","Unknown","Successful","Yes","Yes","Yes","","","Full document","Oracle","High","4","","","","","","1.0","Hein Blignaut","Oracle EBS implementation; mining sector; 2023 letter"
"REF-ORA-005","Adcock Ingram — Oracle EBS Reference Letter (2023)","REF","Project","Oracle","Oracle EBS","Active","None","","No-Expiry","Parties/Customers/SABS/RFP/ETS - Oracle Fusion/References/Reference 2023 Adcock Ingram Letter.pdf","04_References/Oracle/REF-ORA-005-AdcockIngram-Reference-Letter-2023.pdf","","2026-06-14","2026-06-14","Hein Blignaut","Annual","Oracle,EBS,Adcock Ingram,reference,pharmaceutical,FMCG","Registered WP7 2026-06-14 per D1. Oracle EBS. Pharmaceutical / FMCG sector. Account manager approval required at each tender submission.","","2023","REF-ORA-005","","Yes","2026-06-14","","","No","Adcock Ingram","Pharmaceutical / FMCG","Oracle EBS Implementation","Oracle EBS","","","Unknown","Successful","Yes","Yes","Yes","","","Full document","Oracle","High","4","","","","","","1.0","Hein Blignaut","Oracle EBS implementation; pharmaceutical/FMCG sector; 2023 letter"
"REF-ORA-006","Mr Price Group — Oracle Fusion HCM Learning Cloud Reference Letter (2024)","REF","Project","Oracle","Oracle Fusion HCM","Active","None","","No-Expiry","Parties/Customers/SABS/RFP/ETS - Oracle Fusion/References/Reference 2024 Mr Price.pdf","04_References/Oracle/REF-ORA-006-MrPrice-Reference-Letter-2024.pdf","","2026-06-14","2026-06-14","Hein Blignaut","Annual","Oracle,Fusion,HCM,Learning Cloud,Mr Price,reference,retail","Registered WP7 2026-06-14 per D1. Scope: Oracle Fusion HCM Learning Cloud (implementation only — C-W3-002). Do not use to claim broader HCM or T&L. T&L = PoC (OI-W7-001). Account manager approval required at each tender submission.","","2024","REF-ORA-006","","Yes","2026-06-14","","","No","Mr Price Group","Retail","Oracle Fusion HCM Learning Cloud Implementation","Oracle Fusion HCM,Learning Cloud","","","Unknown","Successful","Yes","Yes","Conditional","","","Full document — scope limited to Learning Cloud (C-W3-002)","Oracle","High","3","","","","","","1.0","Hein Blignaut","Oracle HCM Learning Cloud only (C-W3-002); T&L = PoC only; retail sector; 2024 letter; conditional reuse"
"REF-ACU-001","DSSSA — Acumatica ERP Reference Letter","REF","Project","Acumatica","Acumatica ERP","Active","None","","No-Expiry","Parties/Customers/AFROSAI-E/References/DSSSA Reference Letter.pdf","04_References/Acumatica/REF-ACU-001-DSSSA-Reference-Letter.pdf","","2026-06-14","2026-06-14","Hein Blignaut","Annual","Acumatica,ERP,DSSSA,reference,inter-governmental,public sector","Registered WP7 2026-06-14 per D5. Acumatica ERP implementation and post-implementation support. Account manager approval required at each tender submission.","","","REF-ACU-001","","Yes","2026-06-14","","","No","DSSSA","Inter-governmental / Public Sector","Acumatica ERP Implementation and Support","Acumatica ERP,Finance,Distribution,Project Accounting,Support","","","Unknown","Successful","Yes","Yes","Yes","","","Full document","Acumatica","High","4","","","","","","1.0","Hein Blignaut","Acumatica ERP implementation and support; inter-governmental sector; registered 2026-06-14"
"REF-ACU-002","FuelU2 — Acumatica ERP Reference Letter","REF","Project","Acumatica","Acumatica ERP","Active","None","","No-Expiry","Parties/Customers/AFROSAI-E/References/FuelU2 Reference Letter.pdf","04_References/Acumatica/REF-ACU-002-FuelU2-Reference-Letter.pdf","","2026-06-14","2026-06-14","Hein Blignaut","Annual","Acumatica,ERP,FuelU2,reference,fuel,distribution","Registered WP7 2026-06-14 per D5. Acumatica ERP implementation and post-implementation support. Account manager approval required at each tender submission.","","","REF-ACU-002","","Yes","2026-06-14","","","No","FuelU2","Distribution / Fuel","Acumatica ERP Implementation and Support","Acumatica ERP,Finance,Order Management,Distribution,Support","","","Unknown","Successful","Yes","Yes","Yes","","","Full document","Acumatica","High","3","","","","","","1.0","Hein Blignaut","Acumatica ERP implementation and support; distribution/fuel sector; registered 2026-06-14"
"REF-ACU-003","Maxiflex — Acumatica ERP Reference Letter","REF","Project","Acumatica","Acumatica ERP","Active","None","","No-Expiry","Parties/Customers/AFROSAI-E/References/Maxiflex Reference Letter.pdf","04_References/Acumatica/REF-ACU-003-Maxiflex-Reference-Letter.pdf","","2026-06-14","2026-06-14","Hein Blignaut","Annual","Acumatica,ERP,Maxiflex,reference,manufacturing","Registered WP7 2026-06-14 per D5. Acumatica ERP implementation and post-implementation support. Account manager approval required at each tender submission.","","","REF-ACU-003","","Yes","2026-06-14","","","No","Maxiflex","Manufacturing","Acumatica ERP Implementation and Support","Acumatica ERP,Finance,Manufacturing,Distribution,Support","","","Unknown","Successful","Yes","Yes","Yes","","","Full document","Acumatica","High","3","","","","","","1.0","Hein Blignaut","Acumatica ERP implementation and support; manufacturing sector; registered 2026-06-14"
