"Assumption_ID","Area","Module","Category","Statement","Risk_If_Invalid","Default_Included","Customer_Action_Required","Version","Status"
"HCM-ENV-001","Environment","HCM Base","Assumption","Oracle Fusion HCM Cloud SaaS only — no on-premises deployment","Scope disputes if client expects on-premises options or hybrid deployment","Yes","No","1.0","Active"
"HCM-ENV-002","Environment","HCM Base","Dependency","Environment provisioning by Oracle; APPSolve timeline starts from environment access date","Timeline slippage if Oracle provisioning delays are not tracked and escalated","Yes","No","1.0","Active"
"HCM-ENV-003","Environment","HCM Base","Assumption","Scoped to 1 Production + 1 standard non-production Oracle environment; additional non-production tenants must be explicitly licensed by client","Cost overrun if client expects additional environments outside subscription","Yes","No","1.0","Active"
"HCM-ENV-004","Environment","HCM Base","Assumption","Oracle quarterly update schedule applies; client accepts updates may change UI or configuration behaviour","Unbudgeted regression work if client refuses to accept quarterly updates","Yes","No","1.0","Active"
"HCM-ENV-005","Environment","HCM Base","Customer Responsibility","Client responsible for browser compatibility and VPN/network access for all users","Access delays during testing and UAT","Yes","Yes","1.0","Active"
"HCM-ENV-006","Environment","HCM Base","Customer Responsibility","Client responsible for all employee internet connectivity; APPSolve not liable for network-related performance issues","Disputes over performance degradation attributed to APPSolve","Yes","Yes","1.0","Active"
"HCM-ENV-007","Environment","HCM Base","Assumption","Oracle SaaS SLA governs production availability; APPSolve not responsible for Oracle platform downtime","Unmanaged client expectations around uptime guarantees","Yes","No","1.0","Active"
"HCM-ENV-008","Environment","HCM Base","Assumption","Oracle CPU/patch bundles applied by Oracle during implementation are outside APPSolve scope; remediation is a Change Request","Unbudgeted rework during implementation if major Oracle patches alter delivered configuration","Yes","No","1.0","Active"
"HCM-ORG-001","Organisation Structure","HCM Base","Assumption","Configuration scope is based on entities, BUs, locations, and LDGs confirmed at scoping; scope changes require Change Request","Scope creep and cost overrun as additional entities are added post-scoping","Yes","No","1.0","Active"
"HCM-ORG-002","Organisation Structure","HCM Base","Customer Responsibility","Client confirms final legal entities, BUs, departments, locations, and job structures before Scope and Design commences","Design rework required if org structure changes after configuration has started","Yes","Yes","1.0","Active"
"HCM-ORG-003","Organisation Structure","HCM Base","Assumption","One LDG configured per country in scope; additional LDGs are a Change Request","Under-scoped legislative configuration; incorrect payroll interface setup","Yes","No","1.0","Active"
"HCM-ORG-004","Organisation Structure","HCM Base","Assumption","APPSolve applies Oracle Modern Best Practice as default org design; deviations are assessed as Change Requests","Cost overrun from bespoke org configurations not anticipated in estimate","Yes","No","1.0","Active"
"HCM-ORG-005","Organisation Structure","HCM Base","Customer Responsibility","Org design decisions (BU structure, dept hierarchy, position/job management, grade ladders) are client's responsibility and must be finalised before configuration","Configuration built on unconfirmed design; rework costs at client's risk","Yes","Yes","1.0","Active"
"HCM-ORG-006","Organisation Structure","HCM Base","Assumption","Job Management is APPSolve default; Position Management excluded from base scope — requires explicit scoping and is priced as an addition","Position management imposes significant additional complexity not priced in base estimate","Yes","No","1.0","Active"
"HCM-ORG-007","Organisation Structure","HCM Base","Customer Responsibility","Client confirms centralised vs decentralised HR model before security design commences","Incorrect security configuration; rework after go-live","Yes","Yes","1.0","Active"
"HCM-ORG-008","Organisation Structure","HCM Base","Assumption","Single worker number sequence is the default; multiple sequences are a Change Request","Unexpected configuration complexity and testing effort","Yes","No","1.0","Active"
"HCM-SEC-001","Security","HCM Base","Assumption","Oracle seeded RBAC duty and abstract roles are the baseline; custom duty role modifications are out of scope","Bespoke security development not priced in estimate; significant rework risk","Yes","No","1.0","Active"
"HCM-SEC-002","Security","HCM Base","Assumption","4 custom job roles included: Employee, Line Manager, HR Administrator, 1 additional custom role; roles beyond 4 are a Change Request","Unbounded security design effort consuming implementation contingency","Yes","No","1.0","Active"
"HCM-SEC-003","Security","HCM Base","Customer Responsibility","Client owns user provisioning process; APPSolve configures IDCS/OCI IAM SSO only where in SOW scope","Identity management gaps; unmanaged user access after go-live","Yes","Yes","1.0","Active"
"HCM-SEC-004","Security","HCM Base","Customer Responsibility","Client provides IdP access, technical contact, and SAML metadata for SSO configuration where SSO is in scope","SSO integration delays due to client IdP access restrictions","Yes","Yes","1.0","Active"
"HCM-SEC-005","Security","HCM Base","Customer Responsibility","Client responsible for data masking and POPIA compliance in non-production environments","POPIA breach; reputational risk to APPSolve if personal data is exposed in test environments","Yes","Yes","1.0","Active"
"HCM-SEC-006","Security","HCM Base","Assumption","Oracle TDE is an Oracle platform control; APPSolve references it in documentation but does not configure or certify it","Incorrect client expectation that APPSolve provides TDE certification","Yes","No","1.0","Active"
"HCM-SEC-007","Security","HCM Base","Customer Responsibility","Client or internal audit provides SoD conflict matrix; APPSolve configures roles as directed but does not conduct independent SoD audits","Audit findings post-go-live attributed to APPSolve security configuration","Yes","Yes","1.0","Active"
"HCM-SEC-008","Security","HCM Base","Assumption","Security profiles configured for agreed user populations; additional populations not identified in Scope and Design are a Change Request","Security design is incomplete; access gaps discovered in UAT or after go-live","Yes","No","1.0","Active"
"HCM-WFL-001","Workflow","HCM Base","Assumption","Approval workflows use Oracle BPM delivered patterns (management hierarchy, position hierarchy, approval group); bespoke routing logic is out of scope","Complex routing requirements drive custom development cost not in estimate","Yes","No","1.0","Active"
"HCM-WFL-002","Workflow","HCM Base","Customer Responsibility","Client provides all approval hierarchies, rules, and notification requirements before workflow configuration","Workflow configuration delay; rework if approval logic changes after build","Yes","Yes","1.0","Active"
"HCM-WFL-003","Workflow","HCM Base","Assumption","Number of distinct approval workflows is limited to those agreed in SOW; additional workflows are a Change Request","Unbounded workflow design effort; delivery timeline impact","Yes","No","1.0","Active"
"HCM-WFL-004","Workflow","HCM Base","Assumption","Email notifications use Oracle standard framework; custom HTML/branded email templates are out of scope","Client expectation mismatch on notification appearance","Yes","No","1.0","Active"
"HCM-WFL-005","Workflow","HCM Base","Customer Responsibility","Accurate management hierarchy data must be present in Oracle HCM before workflow UAT commences","Workflow testing blocked; UAT delays","Yes","Yes","1.0","Active"
"HCM-WFL-006","Workflow","HCM Base","Assumption","Standard Oracle delegation (out-of-office) included; permanent delegation hierarchies assessed as scope addition depending on complexity","Permanent delegation rules require bespoke BPM configuration not priced in base","Yes","No","1.0","Active"
"HCM-DAT-001","Data Migration","HCM Base","Customer Responsibility","Client owns data extraction, cleansing, normalisation, and loading into APPSolve FBDI templates; APPSolve does not extract from client source systems","Data migration delays; quality failures attributed to APPSolve","Yes","Yes","1.0","Active"
"HCM-DAT-002","Data Migration","HCM Base","Assumption","Only active employee records migrated; terminated employees, historical records, and unconfirmed contractor populations are excluded","Unscoped data volumes; migration effort significantly exceeds estimate","Yes","No","1.0","Active"
"HCM-DAT-003","Data Migration","HCM Base","Assumption","APPSolve validates successful load only; source data accuracy is the client's responsibility","Post-go-live data errors blamed on migration; reputational risk","Yes","No","1.0","Active"
"HCM-DAT-004","Data Migration","HCM Base","Assumption","Maximum three (3) migration load cycles (Mock 1, Mock 2, Production); additional cycles are a Change Request","Repeated migration cycles consume significant consultant time not budgeted","Yes","No","1.0","Active"
"HCM-DAT-005","Data Migration","HCM Base","Assumption","Historical learning, performance, and payslip data excluded unless specifically agreed and scoped as additions","Client assumes historical data is always migrated; scope dispute at delivery","Yes","No","1.0","Active"
"HCM-DAT-006","Data Migration","HCM Base","Customer Responsibility","Client performs data reconciliation between source and Oracle HCM after each load cycle","Unreconciled data discrepancies discovered post-go-live; data integrity disputes","Yes","Yes","1.0","Active"
"HCM-DAT-007","Data Migration","HCM Base","Assumption","Migration data provided in English or agreed primary language; translated data values provided by client","Multi-language migration complexity and cost not in base estimate","Yes","No","1.0","Active"
"HCM-DAT-008","Data Migration","HCM Base","Customer Responsibility","Client enforces data freeze on source system during production migration window","Data divergence between source and Oracle HCM at go-live; integrity risk","Yes","Yes","1.0","Active"
"HCM-DAT-009","Data Migration","HCM Base","Assumption","Contractors, agency workers, and contingent workers excluded from default Core HR migration; inclusion requires agreement in Scope and Design","Hidden data population inflates migration scope and effort","Yes","No","1.0","Active"
"HCM-RPT-001","Reporting","HCM Base","Assumption","Standard OTBI reports and dashboards are the default reporting tool; OTBI is included in HCM Base licence","Client expects advanced analytics not included in base HCM licence","Yes","No","1.0","Active"
"HCM-RPT-002","Reporting","HCM Base","Assumption","Custom OTBI report count agreed in SOW; additional custom reports are a Change Request","Unbounded custom reporting effort consuming implementation resources","Yes","No","1.0","Active"
"HCM-RPT-003","Reporting","HCM Base","Exclusion","Oracle Analytics Cloud (OAC/OAX) is separately licensed and excluded unless in BOM","Client assumes advanced analytics are included; commercial shortfall","Yes","No","1.0","Active"
"HCM-RPT-004","Reporting","HCM Base","Assumption","BI Publisher configuration for documents confirmed in Scope and Design only; additional templates are a Change Request","Report delivery scope exceeds estimate if not controlled","Yes","No","1.0","Active"
"HCM-RPT-005","Reporting","HCM Base","Assumption","Reports designed against configuration in place at go-live; post-go-live configuration changes that affect report output are a Change Request","Ongoing report maintenance consumed by implementation team rather than AMS","Yes","No","1.0","Active"
"HCM-RPT-006","Reporting","HCM Base","Customer Responsibility","Client defines all report requirements (fields, filters, grouping, calculation logic); APPSolve translates agreed requirements into OTBI configuration","Reports delivered do not meet business need due to incomplete requirements","Yes","Yes","1.0","Active"
"HCM-TST-001","Testing","HCM Base","Assumption","UAT is led and owned by the client; APPSolve facilitates and supports but does not sign off UAT on client's behalf","UAT delays; client expects APPSolve to own test sign-off","Yes","No","1.0","Active"
"HCM-TST-002","Testing","HCM Base","Customer Responsibility","Client prepares business UAT test scripts aligned to their processes; APPSolve provides CRP configuration scripts only","Inadequate UAT coverage; defects discovered post-go-live","Yes","Yes","1.0","Active"
"HCM-TST-003","Testing","HCM Base","Assumption","Standard plan: CRP1 (Design Validation) + CRP2 (End-to-End Validation) + 1 UAT cycle; additional CRP cycles or second UAT are Change Requests","Schedule overrun and resource cost overrun from repeated test cycles","Yes","No","1.0","Active"
"HCM-TST-004","Testing","HCM Base","Customer Responsibility","Client provides sufficient business users for UAT; delays from client unavailability are client's responsibility","UAT critical path delayed; go-live date at risk","Yes","Yes","1.0","Active"
"HCM-TST-005","Testing","HCM Base","Assumption","Configuration defects (APPSolve errors) remediated at no cost; defects from client requirement gaps or data issues are Change Requests","Scope disputes over defect ownership; margin erosion from absorbing non-APPSolve defects","Yes","No","1.0","Active"
"HCM-TST-006","Testing","HCM Base","Dependency","Stable third-party test environments required for SIT before integration testing commences","Integration testing blocked; SIT delayed; go-live date at risk","Yes","Yes","1.0","Active"
"HCM-TST-007","Testing","HCM Base","Assumption","Performance and load testing of Oracle Cloud is Oracle's SaaS responsibility; APPSolve does not conduct infrastructure performance testing","Client expects APPSolve to provide performance testing; expectation mismatch","Yes","No","1.0","Active"
"HCM-TST-008","Testing","HCM Base","Assumption","One quarterly Oracle update regression test cycle included in implementation scope; additional cycles due to delayed go-live are a Change Request","Delayed go-live introduces multiple quarterly update regression cycles not in budget","Yes","No","1.0","Active"
"HCM-TRN-001","Training","HCM Base","Assumption","Train-the-trainer (TTT) delivery model is the default; end-user training cascade is client's responsibility","Low end-user adoption; client expects APPSolve to train all employees directly","Yes","No","1.0","Active"
"HCM-TRN-002","Training","HCM Base","Assumption","All training delivered in English; translation is client's responsibility","Language barrier reduces training effectiveness; adoption risk in non-English-speaking subsidiaries","Yes","No","1.0","Active"
"HCM-TRN-003","Training","HCM Base","Assumption","Training uses APPSolve quick reference guides and live system demos; custom eLearning modules or narrated video are excluded","Client expects polished LMS-hosted eLearning content not in scope","Yes","No","1.0","Active"
"HCM-TRN-004","Training","HCM Base","Customer Responsibility","Client ensures TTT participants attend all training sessions; rescheduling caused by client unavailability may be a Change Request","Training quality reduced; rescheduling costs absorbed by APPSolve","Yes","Yes","1.0","Active"
"HCM-TRN-005","Training","HCM Base","Exclusion","Oracle University training courses are excluded; client engages Oracle University directly","Client assumes Oracle University is included in APPSolve's fees","Yes","No","1.0","Active"
"HCM-TRN-006","Training","HCM Base","Assumption","APPSolve recommends Oracle Cloud Learning Subscription for system administrators; this is a client action outside APPSolve's scope","Unsustainable system administration post-go-live; support dependency on APPSolve","Yes","No","1.0","Active"
"HCM-CUT-001","Cutover","HCM Base","Assumption","Go-live date confirmed in Mobilize phase; cutover plan and checklist produced before production migration","Uncontrolled cutover; production migration risks not assessed in advance","Yes","No","1.0","Active"
"HCM-CUT-002","Cutover","HCM Base","Assumption","Production migration window is a weekend (Fri evening to Sun evening); business-day migrations require specific risk acceptance by client","Business-day migration impacts HR operations; data integrity risk during live transactions","Yes","No","1.0","Active"
"HCM-CUT-003","Cutover","HCM Base","Customer Responsibility","Client enforces data freeze from start of production migration window; transactions in source system during freeze are not reflected in Oracle HCM","Data loss; divergence between source and Oracle HCM; reconciliation cost","Yes","Yes","1.0","Active"
"HCM-CUT-004","Cutover","HCM Base","Assumption","Go/no-go decision point defined in cutover plan; client holds final go/no-go authority","APPSolve proceeding to go-live against client wishes; liability exposure","Yes","No","1.0","Active"
"HCM-CUT-005","Cutover","HCM Base","Assumption","Parallel payroll run INCLUDED by default where Oracle HCM replaces a payroll-connected system; duration and reconciliation agreed in Scope and Design","Client receives parallel run deliverable not scoped/priced if conditions (HCM-CUT-008) are not clearly stated","Yes","No","1.0","Active"
"HCM-CUT-006","Cutover","HCM Base","Exclusion","Legacy HR system decommissioning and data archival is client's responsibility and is excluded","Client assumes APPSolve will shut down old system; scope dispute","Yes","No","1.0","Active"
"HCM-CUT-007","Cutover","HCM Base","Assumption","Written client confirmation required before production migration proceeds; APPSolve will not go live without documented client readiness sign-off","Premature go-live; accountability disputes if issues arise post-cutover","Yes","No","1.0","Active"
"HCM-CUT-008","Cutover","HCM Base","Assumption","Parallel run conditions: (a) applies to payroll interface outputs only — not native Oracle payroll; (b) payroll calculations remain payroll provider's responsibility; (c) client payroll team owns reconciliation; (d) not applicable where HCM does not replace a payroll-connected system","Parallel run misread as payroll processing obligation; APPSolve drawn into payroll compliance activities","Yes","No","1.0","Active"
"HCM-HYP-001","Hypercare","HCM Base","Assumption","4-week hypercare is the contractual default; business hours only (08:00-17:00 SAST Mon-Fri); scope = defect resolution and stabilisation only; enhancements excluded","Production issues unresolved; client unsupported after go-live","Yes","No","1.0","Active"
"HCM-HYP-002","Hypercare","HCM Base","Assumption","Contractual hypercare SLAs: P1 = 2-hour response; P2 = 4-hour; P3 = next business day; business hours only; extended hours are separately priced","Client expects 24x7 hypercare support not priced into engagement","Yes","No","1.0","Active"
"HCM-HYP-003","Hypercare","HCM Base","Assumption","Excluded from hypercare: enhancements; new scope requests; Change Requests; training and user adoption support beyond hypercare plan","Scope creep during hypercare; margin erosion from absorbing new work as bug fixes","Yes","No","1.0","Active"
"HCM-HYP-004","Hypercare","HCM Base","Assumption","Formal hypercare exit review and documented handover required before transition to AMS or internal IT support","Unmanaged transition; support gaps between hypercare end and AMS start","Yes","No","1.0","Active"
"HCM-HYP-005","Hypercare","HCM Base","Assumption","Extended hypercare beyond minimum agreed period available at APPSolve standard rate card; must be agreed in writing before hypercare end date","Unbudgeted resource allocation if hypercare extends without commercial agreement","Yes","No","1.0","Active"
"HCM-CHG-001","Change Management","HCM Base","Exclusion","Organisational Change Management (OCM) is excluded from base scope; client appoints internal Change Manager","Low user adoption; HR team resistance undermines implementation ROI","Yes","No","1.0","Active"
"HCM-CHG-002","Change Management","HCM Base","Customer Responsibility","Change management strategy, communications plan, and employee engagement programme are client's responsibility","Client attributes adoption failure to APPSolve; reputational risk","Yes","Yes","1.0","Active"
"HCM-CHG-003","Change Management","HCM Base","Assumption","Where client does not appoint an internal Change Manager, APPSolve accepts no liability for user adoption outcomes","APPSolve drawn into change management activities not scoped or priced","Yes","No","1.0","Active"
"HCM-CHG-004","Change Management","HCM Base","Assumption","APPSolve can provide optional OCM consulting as a separately scoped and priced engagement; not included in base HCM implementation","Client unclear on what is included; expectation mismatch on OCM services","Yes","No","1.0","Active"
"HCM-3PT-001","Third Party Systems","HCM Base","Dependency","All third-party systems requiring integration with Oracle HCM must have documented, available APIs or standard file exchange interfaces","Integration feasibility unknown at scoping; rework if integration is infeasible with available API","Yes","Yes","1.0","Active"
"HCM-3PT-002","Third Party Systems","HCM Base","Customer Responsibility","Client manages all commercial and technical engagement with third-party vendors; APPSolve not responsible for vendor delays or costs","Third-party delays block integration milestone; APPSolve project timeline impacted","Yes","Yes","1.0","Active"
"HCM-3PT-003","Third Party Systems","HCM Base","Dependency","Third-party vendors provide stable non-production test environments for OIC integration testing before SIT commences","SIT blocked; integration testing deferred; go-live date at risk","Yes","Yes","1.0","Active"
"HCM-3PT-004","Third Party Systems","HCM Base","Assumption","Number of third-party integrations is as documented in SOW; each additional integration is a Change Request","Integration scope underestimated; significant additional OIC design and development effort","Yes","No","1.0","Active"
"HCM-3PT-005","Third Party Systems","HCM Base","Assumption","Third-party API or file format changes after integration design is complete are a Change Request","Rework of completed OIC integration not budgeted; delivery timeline impact","Yes","No","1.0","Active"
"HCM-3PT-006","Third Party Systems","HCM Base","Assumption","APPSolve is an Oracle integration partner only; payroll calculation, tax, statutory filing, and payroll compliance remain the payroll provider's responsibility","Payroll compliance failures attributed to APPSolve integration; legal liability risk","Yes","No","1.0","Active"
"HCM-CUS-001","Customer Responsibilities","HCM Base","Customer Responsibility","Client appoints a Project Sponsor with authority to approve scope decisions, Change Requests, and go/no-go decisions","Decision-making paralysis; project delays without empowered sponsor","Yes","Yes","1.0","Active"
"HCM-CUS-002","Customer Responsibilities","HCM Base","Customer Responsibility","Client appoints a dedicated HR Project Lead participating full-time or near-full-time throughout implementation","Slow design decisions; resource bottlenecks on client side; timeline delays","Yes","Yes","1.0","Active"
"HCM-CUS-003","Customer Responsibilities","HCM Base","Customer Responsibility","Client makes available functional SMEs (HR, payroll, IT) for workshops, design reviews, testing, and training as per project plan","Workshop quality reduced; design gaps from absent SMEs; defects in UAT","Yes","Yes","1.0","Active"
"HCM-CUS-004","Customer Responsibilities","HCM Base","Customer Responsibility","Client reviews and approves APPSolve deliverables within agreed turnaround (standard: 5 business days); delays are client's responsibility","Project critical path delayed by slow approvals; go-live date at risk","Yes","Yes","1.0","Active"
"HCM-CUS-005","Customer Responsibilities","HCM Base","Customer Responsibility","Client performs all data extraction, cleansing, preparation, and loading; data stewards assigned per entity","Data quality failures cause migration rework; delivery overrun","Yes","Yes","1.0","Active"
"HCM-CUS-006","Customer Responsibilities","HCM Base","Customer Responsibility","Client provides all business rules, HR policy documents, and process documentation required for Oracle HCM configuration","Configuration built on undocumented or incorrect business rules; rework at go-live","Yes","Yes","1.0","Active"
"HCM-CUS-007","Customer Responsibilities","HCM Base","Customer Responsibility","Client obtains all internal approvals required for go-live (exec sponsors, IT governance, DPO, works councils where applicable)","Go-live blocked by internal governance failure; timeline impact","Yes","Yes","1.0","Active"
"HCM-CUS-008","Customer Responsibilities","HCM Base","Customer Responsibility","Client is responsible for all internal communication to employees and managers regarding the Oracle HCM implementation","User confusion at go-live; helpdesk overload; adoption failure","Yes","Yes","1.0","Active"
"HCM-CUS-009","Customer Responsibilities","HCM Base","Customer Responsibility","Client procures all required Oracle licences before implementation commences; APPSolve not responsible for licence compliance","Implementation delayed by licence availability; licence overrun costs borne by client","Yes","Yes","1.0","Active"
"HCM-CUS-010","Customer Responsibilities","HCM Base","Customer Responsibility","Client provides after-hours premises access where required (weekend cutover, on-call); delays from access restrictions are client's risk","Cutover blocked; go-live deferred; hypercare team unable to respond on-site","Yes","Yes","1.0","Active"
"HCM-GEN-001","General","HCM Base","Assumption","Remote-first delivery; default on-site = UAT support + Go-Live support only; all other activities (kick-off, CRP1, CRP2) are remote","Client expects on-site delivery throughout; cost overrun if additional on-site days absorbed","Yes","No","1.0","Active"
"HCM-GEN-002","General","HCM Base","Customer Responsibility","Travel costs for UAT support and Go-Live support (and any additional on-site days in SOW) are for client's account; travel approval process agreed before travel","APPSolve absorbs travel costs not agreed commercially; margin erosion","Yes","Yes","1.0","Active"
"HCM-GEN-003","General","HCM Base","Assumption","All deliverables and communication in English; translation is client's responsibility","Communication gaps in multi-language environments; documentation unusable by non-English teams","Yes","No","1.0","Active"
"HCM-GEN-004","General","HCM Base","Assumption","Delivery methodology is OUM-aligned: Mobilize > Scope and Design > Prototype > Validate > Deploy > Evolve; client accepts this methodology","Methodology disputes; client expects different delivery framework","Yes","No","1.0","Active"
"HCM-GEN-005","General","HCM Base","Assumption","Named resources committed for engagement duration; substitution only with prior notice and equivalent-or-greater seniority resource","Key person departure disrupts delivery; client confidence at risk","Yes","No","1.0","Active"
"HCM-GEN-006","General","HCM Base","Exclusion","Oracle subscription, licence, and hosting fees are payable directly to Oracle by client and are not included in APPSolve's commercial proposal","Client assumes Oracle fees are bundled in APPSolve's pricing; commercial shortfall","Yes","No","1.0","Active"
"HCM-GEN-007","General","HCM Base","Assumption","Implementation timeline assumes timely client decisions, resource availability, and data readiness; material changes require timeline revision via Change Request","Timeline overrun attributed to APPSolve when caused by client delays","Yes","No","1.0","Active"
"HCM-GEN-008","General","HCM Base","Assumption","Configuration complies with SA legislation (BCEA, EEA, POPIA, LRA) as at design sign-off date; post-sign-off legislative changes are a Change Request","Post-go-live legislative non-compliance if law changes and configuration is not updated","Yes","No","1.0","Active"
"HCM-GEN-009","General","HCM Base","Assumption","Multi-year engagements subject to annual CPI escalation on 1 March each year unless fixed rates agreed in SOW","Rate disputes for long-running projects without confirmed escalation clauses","Yes","No","1.0","Active"
"HCM-GEN-010","General","HCM Base","Assumption","APPSolve maximum liability limited to total fees paid under the relevant SOW as per APPSolve's standard Master Services Agreement","Unlimited liability exposure without MSA in place before implementation commences","Yes","No","1.0","Active"
"HCM-EXC-001","Exclusions","HCM Base","Exclusion","Oracle Fusion Global Payroll (native) is excluded; APPSolve implements payroll interface only","Client assumes Oracle native payroll is included; commercial shortfall and delivery mismatch","Yes","No","1.0","Active"
"HCM-EXC-002","Exclusions","HCM Base","Exclusion","Organisational Change Management (OCM) is excluded from base scope","Low adoption; client expects embedded OCM; expectation mismatch","Yes","No","1.0","Active"
"HCM-EXC-003","Exclusions","HCM Base","Exclusion","Custom software development, OAF personalisation, and VBCS application development are excluded; assessed and priced separately if required","Bespoke development underestimated; delivery overrun; technical debt","Yes","No","1.0","Active"
"HCM-EXC-004","Exclusions","HCM Base","Exclusion","Hardware, infrastructure, networking, and data centre services are excluded (Oracle SaaS is cloud-hosted)","Client budgets for infrastructure not required; or expects APPSolve to provision cloud hardware","Yes","No","1.0","Active"
"HCM-EXC-005","Exclusions","HCM Base","Exclusion","Oracle EPM (Workforce Planning, PBCS, Narrative Reporting) is excluded; workforce budgeting beyond HCM analytics is out of scope","Client assumes headcount planning tool is included; feature gap discovered post-go-live","Yes","No","1.0","Active"
"HCM-EXC-006","Exclusions","HCM Base","Exclusion","Oracle University training courses are excluded; available directly from Oracle","Client assumes Oracle training is bundled; commercial shortfall","Yes","No","1.0","Active"
"HCM-EXC-007","Exclusions","HCM Base","Exclusion","Support, maintenance, and enhancement of client's legacy HR system(s) during or after implementation is excluded","APPSolve drawn into legacy system support not scoped or priced","Yes","No","1.0","Active"
"HCM-EXC-008","Exclusions","HCM Base","Exclusion","Data archival and legacy system decommissioning after go-live is excluded","Client assumes APPSolve will decommission old HR system; scope dispute","Yes","No","1.0","Active"
"HCM-EXC-009","Exclusions","HCM Base","Exclusion","Third-party vendor-side integration development, API changes, and vendor project management are excluded from APPSolve scope","Third-party costs and delays incorrectly attributed to APPSolve scope","Yes","No","1.0","Active"
"HCM-EXC-010","Exclusions","HCM Base","Exclusion","POPIA compliance programme, legal advice, and Information Officer duties are excluded; client retains sole POPIA responsibility","POPIA compliance failure; legal liability misattributed to APPSolve","Yes","No","1.0","Active"
"HCM-EXC-011","Exclusions","HCM Base","Exclusion","Level 1 end-user helpdesk support (password resets, navigation queries) is excluded from implementation scope; handled by client IT or AMS post-go-live","Helpdesk volume overwhelms APPSolve implementation team; delivery focus lost","Yes","No","1.0","Active"
"HCM-EXC-012","Exclusions","HCM Base","Exclusion","Preparation and submission of statutory regulatory reports (EEA2/EEA4, WSP/ATR, PAYE/UIF/SDL) is excluded; APPSolve configures data; submission is client's responsibility","Statutory non-compliance attributed to APPSolve; legal liability risk","Yes","No","1.0","Active"
